comment,rating,sentiment,language
Très délais dépassés de plusieurs semaines sans justification,2,NEGATIVE,FR
"Excellent rapport qualité-prix, travail impeccable",5,POSITIVE,FR
The project was handled very efficiently,4,POSITIVE,EN
Very professional and responsive throughout the project,4,POSITIVE,EN
Very competent and easy to communicate with,5,POSITIVE,EN
Absolutely missed every deadline and ignored my messages,2,NEGATIVE,EN
Très professionnel et attentif aux détails du brief,4,POSITIVE,FR
"Absolument freelancer très compétent, je recommande vivement",5,POSITIVE,FR
Truly very rude and unresponsive when issues arose,2,NEGATIVE,EN
"Complete waste of time and money, avoid this person",2,NEGATIVE,EN
Really very bad quality and missed all deadlines,2,NEGATIVE,EN
Truly the freelancer disappeared halfway through the project,1,NEGATIVE,EN
"Pas du tout professionnel, communication catastrophique",1,NEGATIVE,FR
The design was ugly and completely off-brand,2,NEGATIVE,EN
"Rapide et efficace, le projet a été un succès total",4,POSITIVE,FR
"Vraiment résultat médiocre et délais non respectés, insatisfait",2,NEGATIVE,FR
Completely charged full price for incomplete and broken work,1,NEGATIVE,EN
Absolutely the code delivered was full of bugs and errors,1,NEGATIVE,EN
The output was full of mistakes and poorly done,2,NEGATIVE,EN
Truly very dedicated and produced outstanding results,4,POSITIVE,EN
Very slow response time and mediocre quality,2,NEGATIVE,EN
Compétences techniques excellentes et bon suivi,4,POSITIVE,FR
"Vraiment résultat parfait, le freelancer a compris mes besoins",4,POSITIVE,FR
"Absolutely terrible, one star is too generous",1,NEGATIVE,EN
"Très bon freelancer, réactif et de qualité",5,POSITIVE,FR
"Truly excellent work, delivered on time and above expectations",4,POSITIVE,EN
"Completely absolutely terrible, one star is too generous",1,NEGATIVE,EN
Projet réalisé avec soin et dans les délais impartis,5,POSITIVE,FR
"Freelancer très compétent, je recommande vivement",5,POSITIVE,FR
"Travail bâclé et peu professionnel, à éviter absolument",2,NEGATIVE,FR
Truly poor work ethics and unacceptable final result,1,NEGATIVE,EN
"Excellent travail, livré dans les délais et très professionnel",4,POSITIVE,FR
Delay after delay and the final result was bad,2,NEGATIVE,EN
Lack of skills made the project a total failure,2,NEGATIVE,EN
Quick turnaround and excellent communication skills,5,POSITIVE,EN
Failed to deliver and refused to offer a refund,1,NEGATIVE,EN
Really very unprofessional behavior and poor quality output,1,NEGATIVE,EN
"Travail incomplet et de mauvaise qualité, déçu",2,NEGATIVE,FR
Mauvaise communication et projet non terminé dans les délais,1,NEGATIVE,FR
Truly perfect work quality and very fair pricing,4,POSITIVE,EN
